,title,originallink,link,description,pubDate
0,<b>상명대</b> 캠퍼스에서 &apos;훈남 선배&apos;라 소문난 대학원생...알고보니 &apos;박보검&apos;이었다...,https://www.insight.co.kr/news/436448,https://www.insight.co.kr/news/436448,= &quot;캠퍼스 한쪽에서 빛이 나고 있길래 쳐다보니 보검 선배가 있었어요&quot;<b>여대</b>생들의 캠퍼스 로망에 빠지지 않고... 한편 박보검은 <b>상명대</b>학교 뉴미디어 음악학과 대학원에 진학했다.그는 현재 대학원 생활과 함께 아이유와... ,"Sat, 22 Apr 2023 11:14:00 +0900"
1,다주택자 규제 풀었더니 전세사기 확산…금융당국 &apos;딜레마&apos;,http://www.topstarnews.net/news/articleView.html?idxno=15326373,http://www.topstarnews.net/news/articleView.html?idxno=15326373,서지용 <b>상명대</b> 경영학부 교수는 &quot;정부가 대출규제를 완화하는 것은 집값이 너무 많이 떨어지는 것을 막기 위해 매수세를 끌어올려야 하기 때문&quot;이라며 &quot;다만 너무 일괄적으로 규제를 풀게 되면 다주택자의 투기로 이어질... ,"Sat, 22 Apr 2023 10:34:00 +0900"
2,다주택자 규제 풀었는데…전세사기 확산에 금융당국 &apos;딜레마&apos;,http://www.newsis.com/view/?id=NISX20230421_0002276314&cID=15001&pID=15000,https://n.news.naver.com/mnews/article/003/0011818038?sid=101,서지용 <b>상명대</b> 경영학부 교수는 &quot;정부가 대출규제를 완화하는 것은 집값이 너무 많이 떨어지는 것을 막기 위해 매수세를 끌어올려야 하기 때문&quot;이라며 &quot;다만 너무 일괄적으로 규제를 풀게 되면 다주택자의 투기로 이어질... ,"Sat, 22 Apr 2023 10:00:00 +0900"
3,"웰니스 관광도시 정선·로미지안 가든, 포레스트 가든 콘서트 진행",http://www.dt.co.kr/contents.html?article_no=2023042102109923077001&ref=naver,https://n.news.naver.com/mnews/article/029/0002796181?sid=103,"2003년 1집 앨범 Love Letter로 데뷔한 웅산은 가수, 싱어송라이터로 활동하며 경희대와 <b>상명대</b> 대학원에서 뮤직테크놀러지 학과 겸임교수직을 맡고 있다. 밴드 Moor의 보컬을 맡고 있는 하동연은 현재 솔로로 활동하고 있다.... ","Sat, 22 Apr 2023 09:00:00 +0900"
4,"회사 선배가 &apos;<b>상명대</b>&apos; 졸업생인 걸 알게 된 후, 모든 가르침이 우습게 들린다...",https://www.insight.co.kr/news/436423,https://www.insight.co.kr/news/436423,그는 선배의 가르침을 받으며 회사를 다니고 있다.그러다 최근 사수가 졸업했던 <b>대학교</b>가 <b>상명대</b>학교란 사실을 우연히 알게 됐다.사수가 졸업했던 학교를 알게 된 A씨는 &apos;회사에 잘못 온 것 같다&apos;는 생각에 빠졌다.그는... ,"Sat, 22 Apr 2023 08:56:00 +0900"
5,"스즈메와 문동은, 한일 문화 정서를 잇다 [투게더]",https://news.kmib.co.kr/article/view.asp?arcid=0018182047&code=61131111&cp=nv,https://n.news.naver.com/mnews/article/005/0001603070?sid=104,조규헌 <b>상명대</b> 한일문화콘텐츠전공 교수는 “글로벌 플랫폼 넷플릭스를 통해 더 많은 일본 시청자가 한국 드라마로 유입될 환경이 조성됐다”고 설명했다. OTT 서비스 보편화가 일본인 시청률 급증에 보탠 셈이다. 중요한... ,"Sat, 22 Apr 2023 00:03:00 +0900"
6,"美에 이어 60조원 투입하는 EU 반도체 법, &quot;한국도 공급망 안정화 고민해야&quot;",http://www.greened.kr/news/articleView.html?idxno=302785,http://www.greened.kr/news/articleView.html?idxno=302785,"이종환 <b>상명대</b> 시스템반도체공학과 교수는 &quot;각국이 반도체 법을 내놓으면서 반도체 산업의 경쟁이 치열해지는 양상&quot;이라며, &quot;우리 정부도 반도체 공급망 안정화에 고민해야 할 때&quot;라고 언급했다. 그러면서, &quot;용인 반도체... ","Fri, 21 Apr 2023 21:27:00 +0900"
7,&quot;한미 철통 동맹&quot;…반도체·전기차 꼬인 실타래 풀릴까?,https://biz.sbs.co.kr/article_hub/20000114520?division=NAVER,https://n.news.naver.com/mnews/article/374/0000332673?sid=101,[이종환 / <b>상명대</b> 시스템반도체공학과 교수: 수율을 100% 공개하기에는 어려운 상황이 있잖아요. 기업에서도 원하지 않는 것이고. 부분적인 공개를 하는 것으로 절충이 (필요합니다).] 이재용 회장과 최태원 회장은 이번 방미... ,"Fri, 21 Apr 2023 18:25:00 +0900"
8,&apos;모아놓기만 했으니…&apos; 삼성 금융 플랫폼 &apos;모니모&apos; 출범 1년 성적표,https://ilyo.co.kr/?ac=article_view&entry_id=450817,https://ilyo.co.kr/?ac=article_view&entry_id=450817,서지용 <b>상명대</b> 경영학과 교수는 “아무래도 삼성이라는 거대그룹의 계열사 역할에 충실하다 보니까 다양한 이업종 사업에서 소극적으로 임하는 경향이 있는 거 같다”며 “향후 마이데이터 사업 인허가를 받은 후에는... ,"Fri, 21 Apr 2023 18:08:00 +0900"
9,"종로소방서, 2023년 일반인 심폐소생술 경연대회 학생ㆍ청소년부 ‘우수상’",http://fpn119.co.kr/196629,http://fpn119.co.kr/196629,<b>상명대</b>학교 사범대학 부속여중 학생들이 채민경 지도교사와 기념사진을 찍고 있다. = 종로소방서(서장 이정희)는 ‘제12회 일반인 심폐소생술 경연대회’에 관내 <b>상명대</b>학교 사범대학 부속여자중학교 팀이 참가해... ,"Fri, 21 Apr 2023 18:04:00 +0900"
