상세주소,도로명 주소,위도,경도
선릉로 103,선릉로 103,37.4855114,127.0571991
선릉로 36,선릉로 36,37.4829635,127.0605036
개포로 504 ,개포로 504 ,37.48281,127.05614
개포로 512 ,개포로 512 ,37.4893719,127.0689278
,,46.3144754,11.0480288
개포동 188,개포동 188,37.48208765,127.06154796893333
개포로110길 15 ,개포로110길 15 ,37.4931927,127.0789946828382
개포로109길 62,개포로109길 62,37.4968938,127.077245
,,46.3144754,11.0480288
,,46.3144754,11.0480288
남부순환로 3165,남부순환로 3165,37.4776603,126.9630624
개포로109길 21,개포로109길 21,37.4968938,127.077245
일원로8길 44,일원로8길 44,37.4897512,127.0783297
일원동 690-5,일원동 690-5,37.48754,127.08705
개포로22길 87 ,개포로22길 87 ,37.4756705,127.05247027241188
개포로 224 ,개포로 224 ,37.48281,127.05614
개포로22길65,개포로22길65,0.0,0.0
개포로 264,개포로 264,37.48281,127.05614
개포로22길 87,개포로22길 87,37.4756705,127.05247027241188
논현로 661 ,논현로 661 ,37.5155479,127.029966
학동로 172 ,학동로 172 ,37.511131,127.0212507
도산대로 176 ,도산대로 176 ,37.524951,127.0540527
학동로6길 19 ,학동로6길 19 ,37.5100415,127.025357
도산대로 122 ,도산대로 122 ,37.524951,127.0540527
강남대로118길 49 ,강남대로118길 49 ,37.5071061,127.0260796
봉은사로 129 ,봉은사로 129 ,37.5057809,127.0281405
도산대로 110 ,도산대로 110 ,37.524951,127.0540527
강남대로146길 28,강남대로146길 28,37.5146462,127.02329102254441
학동로 156 ,학동로 156 ,37.511131,127.0212507
강남대로122길 50,강남대로122길 50,37.5094219,127.0274927
강남대로146길 10,강남대로146길 10,37.5147619,127.0208722
논현로 647,논현로 647,37.5155479,127.029966
강남대로 584,강남대로 584,37.5111721,127.0213861
학동로6길 48,학동로6길 48,37.5100415,127.025357
봉은사로21길 64 ,봉은사로21길 64 ,37.5091219,127.0292472
학동로 204 ,학동로 204 ,37.511131,127.0212507
학동로 212,학동로 212,37.514051,127.032415
언주로129길 21 ,언주로129길 21 ,37.5143159,127.034383
학동로 226 ,학동로 226 ,37.511131,127.0212507
도산대로 228 ,도산대로 228 ,37.5205491,127.03219538827615
,,46.3144754,11.0480288
학동로 342 ,학동로 342 ,37.5167674,127.04088574337976
언주로 605 ,언주로 605 ,37.5352299,127.0346605
도산대로 234 ,도산대로 234 ,37.524951,127.0540527
학동로 325 ,학동로 325 ,37.511131,127.0212507
언주로 619 ,언주로 619 ,37.5352299,127.0346605
언주로 728 ,언주로 728 ,37.5352299,127.0346605
언주로116길 6 ,언주로116길 6 ,37.5110007,127.0381359
언주로 634,언주로 634,37.5352299,127.0346605
언주로146길 18,언주로146길 18,37.5196589,127.0347851
언주로133길 7,언주로133길 7,37.516216,127.033916
봉은사로37길 43,봉은사로37길 43,37.5088867,127.0369244
논현로120길 20,논현로120길 20,37.5110079,127.0335298
언주로130길 30 ,언주로130길 30 ,37.5151498,127.0371855
언주로 617,언주로 617,37.5352299,127.0346605
,,46.3144754,11.0480288
선릉로115길42,선릉로115길42,0.0,0.0
선릉로129길 17 ,선릉로129길 17 ,37.5160508,127.0400152
선릉로131길 12,선릉로131길 12,37.51756,127.0398295
논현로126길 9,논현로126길 9,37.513209,127.0330398
학동로42길 35,학동로42길 35,37.5117014,127.0370286
논현로120길 6,논현로120길 6,37.5110079,127.0335298
언주로 615,언주로 615,37.5020465,127.0436448
남부순환로 2933,남부순환로 2933,37.493926200000004,127.06105729999999
남부순환로 2921 ,남부순환로 2921 ,37.4934887,127.0597536
남부순환로 2909 ,남부순환로 2909 ,37.49218995,127.05746583355238
삼성로 237 ,삼성로 237 ,37.498366000000004,127.060898181402
도곡로 408 ,도곡로 408 ,37.49669695,127.055348453892
도곡로 420 ,도곡로 420 ,37.497201849999996,127.05662962714216
도곡로 450 ,도곡로 450 ,37.4981316,127.05981030000001
삼성로51길 37,삼성로51길 37,37.49415045,127.05920218670981
,,46.3144754,11.0480288
도곡로64길,도곡로64길,37.5051331,127.079289
삼성로51길 37,삼성로51길 37,37.49415045,127.05920218670981
삼성로51길 7,삼성로51길 7,37.49651485,127.06139859999999
도곡로78길 22,도곡로78길 22,37.496800750000006,127.05940410635664
도곡로64길 21,도곡로64길 21,37.5051331,127.079289
남부순환로 394길,남부순환로 394길,0.0,0.0
도곡로78길 7,도곡로78길 7,37.4976272,127.05933725637556
,,46.3144754,11.0480288
,,46.3144754,11.0480288
삼성로57길 45,삼성로57길 45,37.49701090000001,127.05751737579928
삼성로51길 37,삼성로51길 37,37.49415045,127.05920218670981
삼성로 155,삼성로 155,37.49401,127.0629819
테헤란로 518 ,테헤란로 518 ,37.50762445,127.06070585
영동대로 221 ,영동대로 221 ,37.49865575,127.06813411707205
도곡로93길 12 ,도곡로93길 12 ,37.5010621,127.064742
도곡로 510 ,도곡로 510 ,37.49900365,127.06215600104241
테헤란로114길 23 ,테헤란로114길 23 ,37.5085805,127.066924
도곡로 524 ,도곡로 524 ,37.4995216,127.06375485000001
삼성로 334 ,삼성로 334 ,37.5162779,127.0515537
도곡로83길 8,도곡로83길 8,37.5002163,127.0621774
역삼로 522 ,역삼로 522 ,37.4985382,127.0447277
역삼로 546 ,역삼로 546 ,37.4985382,127.0447277
삼성로 314 ,삼성로 314 ,37.500055700000004,127.06068218926055
영동대로 312 ,영동대로 312 ,37.5092189,127.0631384
영동대로86길 17,영동대로86길 17,37.50829285,127.06549465072086
도곡로 84길,도곡로 84길,0.0,0.0
,,46.3144754,11.0480288
,,46.3144754,11.0480288
영동대로417,영동대로417,0.0,0.0
역삼로92길 12,역삼로92길 12,37.5031787,127.0629079
영동대로65길 11,영동대로65길 11,37.5020059,127.0657022
선릉로 312 ,선릉로 312 ,37.5257607,127.0399898
도곡로 435,도곡로 435,37.4986492,127.057842
삼성로 301 ,삼성로 301 ,36.8005857,127.06000775211552
테헤란로 408 ,테헤란로 408 ,37.5036201,127.0456997
역삼로 415 ,역삼로 415 ,37.4985382,127.0447277
역삼로 438 ,역삼로 438 ,37.4985382,127.0447277
삼성로 417,삼성로 417,37.48480655,127.07113196731368
삼성로85길 11,삼성로85길 11,37.5038579,127.0548248
선릉로 338,선릉로 338,37.5257607,127.0399898
테헤란로64길 19,테헤란로64길 19,37.5039306,127.0513461
선릉로64길 23,선릉로64길 23,37.49830465,127.05418885723685
삼성로67길 22,삼성로67길 22,37.5002957,127.0563369
삼성로71길 21,삼성로71길 21,37.5017735,127.0571123
선릉로72길 20 ,선릉로72길 20 ,37.5007475,127.0537515
삼성로61길 26,삼성로61길 26,37.4985537,127.057231
선릉로68길 9 ,선릉로68길 9 ,37.499362,127.0535017
논현로 209 ,논현로 209 ,37.5155479,127.029966
남부순환로 2629 ,남부순환로 2629 ,37.4776603,126.9630624
남부순환로365길 16,남부순환로365길 16,37.4878265,127.0398415
언주로 201 ,언주로 201 ,37.4820628,127.05243565
남부순환로363길 16,남부순환로363길 16,37.4863276,127.0386404
강남대로 240,강남대로 240,37.5111721,127.0213861
남부순환로363길 30,남부순환로363길 30,37.4863276,127.0386404
도곡동 944-8,도곡동 944-8,37.488481699999994,127.04409889181545
도곡로 142,도곡로 142,37.5051379,127.0773057
남부순환로359길 27,남부순환로359길 27,37.4864592,127.0360848
논현로51길25,논현로51길25,0.0,0.0
언주로30길 13 ,언주로30길 13 ,37.4883726,127.0514976
언주로30길 56 ,언주로30길 56 ,37.4877134,127.0543429
언주로 117 ,언주로 117 ,37.4862066,127.0505703
언주로30길 26 ,언주로30길 26 ,37.4870721,127.0528498
,,46.3144754,11.0480288
언주로30길 57,언주로30길 57,37.4892992,127.0541634
,,46.3144754,11.0480288
언주로30길 26 ,언주로30길 26 ,37.4870721,127.0528498
남부순환로 2807,남부순환로 2807,37.4776603,126.9630624
도곡동 466-4,도곡동 466-4,37.488481699999994,127.04409889181545
봉은사로 524,봉은사로 524,37.5128251,127.05726453842195
봉은사로 524,봉은사로 524,37.5128251,127.05726453842195
봉은사로 524,봉은사로 524,37.5128251,127.05726453842195
테헤란로87길 36,테헤란로87길 36,37.508357,127.0591186
테헤란로87길 22,테헤란로87길 22,37.508357,127.0591186
삼성로 520 ,삼성로 520 ,37.5162779,127.0515537
,,46.3144754,11.0480288
봉은사로86길 14 ,봉은사로86길 14 ,37.5125229,127.0568627
봉은사로 633 ,봉은사로 633 ,37.5157034,127.0697282
삼성로 612 ,삼성로 612 ,37.5162779,127.0515537
,,46.3144754,11.0480288
봉은사로 510 ,봉은사로 510 ,37.5157034,127.0697282
봉은사로 533 ,봉은사로 533 ,37.5157034,127.0697282
,,46.3144754,11.0480288
영동대로 647 ,영동대로 647 ,37.5092189,127.0631384
학동로88길 5,학동로88길 5,37.5185415,127.0528265
봉은사로114길 30-5,봉은사로114길 30-5,37.5134971,127.0657361
봉은사로84길 16,봉은사로84길 16,37.5122158,127.055922
삼성로 649 ,삼성로 649 ,37.5162779,127.0515537
삼성로 649 ,삼성로 649 ,37.5162779,127.0515537
삼성로 635 ,삼성로 635 ,37.5165462,127.0510977
봉은사로 415 ,봉은사로 415 ,37.5157034,127.0697282
봉은사로 451 ,봉은사로 451 ,37.5157034,127.0697282
봉은사로 463 ,봉은사로 463 ,37.5157034,127.0697282
테헤란로 409 ,테헤란로 409 ,37.5036201,127.0456997
테헤란로 421 ,테헤란로 421 ,37.5036201,127.0456997
테헤란로 435 ,테헤란로 435 ,37.5066519,127.05468615316246
학동로 420 ,학동로 420 ,37.511131,127.0212507
선릉로130길 19 ,선릉로130길 19 ,37.5169448,127.0439564
선릉로 510 ,선릉로 510 ,37.5257607,127.0399898
봉은사로 469,봉은사로 469,37.5157034,127.0697282
테헤란로69길 5,테헤란로69길 5,37.5063951,127.0526162
선릉로122길 4,선릉로122길 4,37.5144221,127.0428066
학동로68길 29,학동로68길 29,37.5168887,127.0467807
,,46.3144754,11.0480288
봉은사로63길 47,봉은사로63길 47,37.5133358,127.0464764
테헤란로63길 17 ,테헤란로63길 17 ,37.5057395,127.0504906
봉은사로63길 11,봉은사로63길 11,37.5133358,127.0464764
선릉로126길 22,선릉로126길 22,37.5154735,127.0435669
선릉로 514,선릉로 514,37.5257607,127.0399898
선릉로130길 19,선릉로130길 19,37.5169448,127.0439564
헌릉로757길 35 ,헌릉로757길 35 ,37.4712471,127.1192559
헌릉로745길 37 ,헌릉로745길 37 ,37.4689602,127.1196358
,,46.3144754,11.0480288
,,46.3144754,11.0480288
헌릉로757길 35 ,헌릉로757길 35 ,37.4712471,127.1192559
,,46.3144754,11.0480288
,,46.3144754,11.0480288
헌릉로569,헌릉로569,0.0,0.0
자곡로 55,자곡로 55,37.4694739,127.0917658
,,46.3144754,11.0480288
자곡로3길22,자곡로3길22,0.0,0.0
,,46.3144754,11.0480288
자곡로3길 21,자곡로3길 21,37.4705072,127.0898211
세곡동 515,세곡동 515,37.4708665,127.10335105674744
헌릉로569길 19,헌릉로569길 19,37.4670378,127.0978252
세곡동 122-1,세곡동 122-1,37.4708665,127.10335105674744
밤고개로 231,밤고개로 231,37.4649875,127.1083055
자곡로 116 ,자곡로 116 ,37.4694739,127.0917658
자곡동 650,자곡동 650,37.4725141,127.0987522
헌릉로569길 41,헌릉로569길 41,37.4670378,127.0978252
,,46.3144754,11.0480288
자곡로7길 3 ,자곡로7길 3 ,37.4740556,127.0998976
광평로 280 ,광평로 280 ,37.4874283,127.1030514
광평로51길 8 ,광평로51길 8 ,37.48852105,127.10268289558306
,,46.3144754,11.0480288
밤고개로5길,밤고개로5길,37.4864639,127.1037707
,,46.3144754,11.0480288
 광평로51길 46 , 광평로51길 46 ,37.4901459,127.1014286
,,46.3144754,11.0480288
도산대로 113 ,도산대로 113 ,37.524951,127.0540527
도산대로 131 ,도산대로 131 ,37.524951,127.0540527
도산대로 149 ,도산대로 149 ,37.524951,127.0540527
논현로 847 ,논현로 847 ,37.5155479,127.029966
강남대로 626 ,강남대로 626 ,37.5111721,127.0213861
압구정로 156 ,압구정로 156 ,37.5281196,127.0301698
압구정로18길 28,압구정로18길 28,37.5236292,127.0249963
압구정로18길 28,압구정로18길 28,37.5236292,127.0249963
압구정로 123,압구정로 123,37.5281196,127.0301698
,,46.3144754,11.0480288
도산대로25길 32,도산대로25길 32,37.5207129,127.0267631
논현로159길 57,논현로159길 57,37.5222726,127.0249621
도산대로15길 29,도산대로15길 29,37.519595,127.0238249
압구정로14길 6,압구정로14길 6,37.5216762,127.023511
압구정로 12길 46,압구정로 12길 46,0.0,0.0
논현로175길 49,논현로175길 49,37.5243164,127.0241243
압구정로18길 28,압구정로18길 28,37.5236292,127.0249963
