CCTV명,주소,위도,경도
구룡중학교입구 주변,개포동 650,37.4858999,127.0564272
개포1동우체국 주변,개포동 167-11,37.4830034,127.0605269
개포동역5번출구 주변,개포동 186-13,37.4890589,127.0671778
개포2동주민센터 주변,개포동 186-17,37.4892714,127.0688177
개포프레지던스자이  주변,개포동 188,37.4865698,127.0707017
석탑상가 주변,일원동 615,37.4922926,127.0783273
대진공원 주변,개포동 13-1,37.495583,127.0786036
코원에너지 주변,대치동 27-1,37.4993483,127.0757632
대청아파트 주변,대치동 12,37.4941844,127.0752156
늘푸른공원 앞 삼거리 주변,일원동 690,37.48997,127.0774559
디에이치프레센트 102동 주변,일원동 690-5,37.4895955,127.0780121
국악중고등학교 주변,개포동 1273,37.4755995,127.0523238
KB(개포남지점) 주변,개포동 1231,37.4785953,127.0473037
국악고 정문 주변,개포동 1272,37.4761552,127.0513959
개포래미안포레스트 121동 주변,개포동 656,37.4786358,127.0538806
포이초 담장 주변,개포동 1273,37.4755995,127.0523238
학동역4번출구 주변,논현동 130-9,37.5128685,127.0308117
학동역5번출구 주변,논현동 128-9,37.5134054,127.0299179
강남을지병원 앞R 주변,논현동 7-15,37.5192146,127.0278999
신화마트 주변,논현동 123-11,37.510693,127.0245943
에메랄드타워 주변,논현동 4,37.5168518,127.0221345
금강마트 주변,논현동 181-15,37.5075544,127.0269332
거평빌딩 주변,논현동 203-1,37.5058893,127.0282231
신사역1번출구 주변,논현동 2,37.516186,127.0210828
신동아논현아파트 주변,논현동 22-1,37.5147153,127.0226688
성덕빌딩 주변,논현동 126-5,37.512761,127.0276722
상명빌딩 주변,논현동 169,37.508876,127.0270848
스튜디오뉴빌 주변,논현동 21-1,37.5147005,127.0209994
힐탑호텔 주변,논현동 151-30,37.5115294,127.0314225
운산빌딩 주변,논현동 18-4,37.513958,127.0206632
우리은행논현남자동화점 주변,논현동 159-11,37.5092412,127.0261279
논현동 디비헤어 주변,논현동 156,37.5098863,127.0281159
학동역3번출구 주변,논현동 207,37.5137717,127.0312305
학동역2번출구 주변,논현동 208-5,37.5140565,127.0325058
논현주차장 주변,논현동 212,37.5138858,127.0335213
학동역1번출구 주변,논현동 209-2,37.5146067,127.0338243
조일빌딩 주변,논현동 62,37.5205441,127.0321432
강남구청역2번출구 주변,논현동 241-6,37.5166861,127.0405907
동광교회 주변,논현동 237-5,37.5093696,127.0371983
마포숯불갈비 주변,논현동 62-7,37.5208659,127.032987
영동한의원 주변,논현동 117-3,37.5166789,127.0386491
서울비전 주변,논현동 225-3,37.5115631,127.0355713
두산빌딩 주변,논현동 98-3,37.5198559,127.0348859
논현동부센트레빌 주변,논현동 275,37.5103561,127.0376521
임피리얼팰리스서울 주변,논현동 249,37.5132311,127.0358274
동현아파트 주변,논현동 105,37.5193536,127.0365755
신한금융투자 주변,논현동 90-3,37.5159901,127.034637
주혁빌딩,논현동 225-1,37.5108927,127.0351313
이레빌 주변,논현동 222-11,37.5109848,127.0338172
동양파라곤101동앞 주변,논현동 245,37.5147466,127.0381369
자동차전시장빌딩 주변,논현동 225-5,37.5110779,127.0355777
학동초 담장 주변,논현동 264-7,37.5120662,127.0398114
그때그집논현점 주변,논현동 242,37.5159505,127.040157
파스쿠찌 강남구청역점 주변,논현동 112-21,37.5178664,127.0398773
논현동 월드타일  주변,논현동 213-32,37.5131037,127.0322841
논현아펠바움1차 101동 주변,논현동 250,37.5134088,127.0364542
vod 스위트 주변,논현동 221-1,37.5108098,127.0329782
논현아이파크아파트 주변,논현동 225-6,37.5105414,127.0359456
대치상가 주변,대치동 604-1,37.4938988,127.0610428
남서울종합상가 주변,대치동 624,37.4936059,127.0597001
여천빌딩 주변,대치동 651,37.4922077,127.0573813
농협(대치동지점) 주변,대치동 1021-10,37.4983679,127.060863
디마크빌딩 주변,대치동 1024,37.4966877,127.0552639
대치동함흥면옥 주변,대치동 1023,37.4972019,127.0565523
덕산빌딩 주변,대치동 1021-3,37.4981124,127.0597594
래미안대치팰리스1단지 주변,대치동 1027,37.4942974,127.0580036
단대부고 주변,대치동 888,37.5049638,127.0800199
래미안대치팰리스정문 주변,대치동 1027-1,37.4942974,127.0580036
서울교회 주변,대치동 210,37.4965381,127.0613449
삼성아파트 주변,대치동 1018,37.4963866,127.058402
단대부고담장 주변,대치동 1013,37.5049028,127.0804071
한광빌딩 주변,대치동 1016,37.4976259,127.0593292
대치삼성2차아파트 주변,대치동 1014-1,37.4970236,127.0575271
래미안대치팰리스 101동 주변,대치동 1027,37.4942974,127.0580036
대치퍼스트빌딩 주변,대치동 507-2,37.4938284,127.062941
섬유센터 주변,대치동 944-31,37.5074573,127.0606353
서림상가 주변,대치동 994-8,37.4987004,127.0680685
대치래미안하이스턴 주변,대치동 985,37.5010448,127.0654872
성창빌딩 주변,대치동 989-3,37.4989119,127.0619546
강남경찰서 주변,대치동 998-1,37.5083713,127.067314
남성빌딩 주변,대치동 991,37.4995124,127.0637515
대치현대아파트상가 주변,대치동 962-21,37.5015069,127.0599056
아카데미국제학교 주변,대치동 987,37.5001452,127.0623722
한탐학원 주변,대치동 965-1,37.4998901,127.0488377
휘문중고등학교 주변,대치동 967,37.5042425,127.0628906
대치현대A 주변,대치동 988,37.5000352,127.0606496
렉서스강남전시장 주변,대치동 1009,37.5023283,127.0674712
육인빌딩 주변,대치동 996-16,37.5083134,127.0654678
은마아파트 북문 앞 삼거리 주변,도곡로 84길,37.4989456,127.0625003
오토웨이타워 주변,대치동 948,37.5061901,127.0637174
대현초 후문 건너편 주변,대치동 970,37.50343,127.0626607
대치어린이집 주변,대치동 985-1,37.5018224,127.0655231
올리브영 주변,대치동 936,37.4975233,127.0526743
쌍용자동차대치전시장 주변,대치동 940-13,37.4985188,127.0577494
은마아파트입구R 주변,대치동 941-18,37.499102,127.0604069
선릉역1번출구 주변,대치동 889-12,37.5045198,127.0502854
성진빌딩 주변,대치동 907-18,37.501434,127.052328
풍림아이원아파트 주변,대치동 910-5,37.5017058,127.0550653
대치포스코더샵 주변,대치동 902,37.5039582,127.057042
롯데캐슬아파트 주변,대치동 893,37.5047553,127.0564488
오성빌딩,대치동 921,37.4999055,127.0515368
서울독수리사역,대치동 890-57,37.5037411,127.0517029
커피빈 대치한티점 주변,대치동 924-9,37.4983093,127.0541735
명문빌딩 주변,대치동 915-21,37.5008433,127.057656
우리빌딩 주변,대치동 914,37.5017752,127.0571942
gs25 대치제일점 주변,대치동 920-8,37.500342,127.0528515
미니스톱대치시내점 건너편 주변,대치동 933-15,37.4990059,127.0583064
CU대치태양점 주변,대치동 921-17,37.4991433,127.0524738
도곡경남아파트 주변,도곡동 967-1,37.4888727,127.0408038
LG전자 주변,도곡동 959-28,37.4853773,127.0373536
대림상가 주변,도곡동 960,37.4876219,127.0395944
SK리더스뷰오피스텔 주변,도곡동 168,37.4884716,127.0487329
언주초정문 주변,도곡동 902-2,37.4864265,127.0381543
양재SK허브프리모 주변,도곡동 953-1,37.4853089,127.0344036
쌍용예가아파트 주변,도곡동 933,37.4870433,127.0386822
