"연번","CCTV NO.","CCTV명","도로명 주소","지번 주소","","",""
"1","개포1-101","구룡중학교입구 주변","선릉로 103","개포동 650","","",""
"2","개포2-101","개포1동우체국 주변","선릉로 36","개포동 167-11","","",""
"3","개포2-102","개포동역5번출구 주변","개포로 504 ","개포동 186-13","","",""
"4","개포2-103","개포2동주민센터 주변","개포로 512 ","개포동 186-17","","",""
"5","개포2-104","수도공고정문 주변","","개포동 155-4","","",""
"6","개포2-105","개포프레지던스자이  주변","개포동 188","개포동 188","","",""
"7","개포3-102","석탑상가 주변","개포로110길 15 ","일원동 615","","",""
"8","개포3-103","대진공원 주변","개포로109길 62","개포동 13-1 ","","",""
"9","개포3-104","마루공원 주변","","일원동 700-6","","",""
"10","개포3-105","대치교동측 주변","","대치동 18-11","","",""
"11","개포3-106","코원에너지 주변","남부순환로 3165","대치동 27-1 ","","",""
"12","개포3-107","대청아파트 주변","개포로109길 21","대치동 12","","",""
"13","개포3-108","늘푸른공원 앞 삼거리 주변","일원로8길 44","일원동 690","","",""
"14","개포3-109","디에이치프레센트 102동 주변","일원동 690-5","일원동 690-5","","",""
"15","개포4-101","국악중고등학교 주변","개포로22길 87 ","개포동 1273","","",""
"16","개포4-102","KB(개포남지점) 주변","개포로 224 ","개포동 1231","","",""
"17","개포4-103","국악고 정문 주변","개포로22길65","개포동 1272","","",""
"18","개포4-104","개포래미안포레스트 121동 주변","개포로 264","개포동 656","","",""
"19","개포4-105","포이초 담장 주변","개포로22길 87","개포동 1273","","",""
"20","논현1-101","학동역4번출구 주변","논현로 661 ","논현동 130-9","","",""
"21","논현1-102","학동역5번출구 주변","학동로 172 ","논현동 128-9","","",""
"22","논현1-103","강남을지병원 앞R 주변","도산대로 176 ","논현동 7-15","","",""
"23","논현1-104","신화마트 주변","학동로6길 19 ","논현동 123-11","","",""
"24","논현1-105","에메랄드타워 주변","도산대로 122 ","논현동 4","","",""
"25","논현1-106","금강마트 주변","강남대로118길 49 ","논현동 181-15","","",""
"26","논현1-107","거평빌딩 주변","봉은사로 129 ","논현동 203-1","","",""
"27","논현1-108","신사역1번출구 주변","도산대로 110 ","논현동 2","","",""
"28","논현1-109","신동아논현아파트 주변","강남대로146길 28","논현동 22-1","","",""
