Column1,Latitude,Longitude
개포동 167-11,37.4830034,127.0605269
개포동 186-13,37.4890589,127.0671778
개포동 186-17,37.4892714,127.0688177
개포동 155-4,37.4871592,127.0620695
개포동 188,37.4865698,127.0707017
일원동 615,37.4922926,127.0783273
개포동 13-1,37.495583,127.0786036
일원동 700-6,37.4941533,127.0810753
대치동 18-11,37.498122,127.0745615
대치동 27-1,37.4993483,127.0757632
대치동 12,37.4991887,127.0633458
일원동 690,37.48997,127.0774559
일원동 690-5,37.4895955,127.0780121
개포동 1273,37.4755995,127.0523238
개포동 1231,37.4785953,127.0473037
개포동 1272,37.4761552,127.0513959
개포동 656,37.4785667,127.0555862
개포동 1273,37.4755995,127.0523238
논현동 130-9,37.5128685,127.0308117
논현동 128-9,37.5134054,127.0299179
논현동 7-15,37.5192146,127.0278999
논현동 123-11,37.510693,127.0245943
논현동 4,37.5168518,127.0221345
논현동 181-15,37.5075544,127.0269332
논현동 203-1,37.5058893,127.0282231
논현동 2,37.516186,127.0210828
논현동 22-1,37.5151548,127.0224109
논현동 126-5,37.5127949,127.0278683
논현동 169,37.508876,127.0270848
논현동 21-1,37.5147005,127.0209994
논현동 151-30,37.5115294,127.0314225
논현동 18-4,37.513958,127.0206632
논현동 159-11,37.5092412,127.0261279
논현동 156,37.5098863,127.0281159
논현동 207,37.5137717,127.0312305
논현동 208-5,37.5140565,127.0325058
논현동 212,37.5138858,127.0335213
논현동 209-2,37.5146067,127.0338243
논현동 62,37.5205441,127.0321432
논현동 211-14,37.5133874,127.0350278
논현동 241-6,37.516853,127.0411393
논현동 237-5,37.5093696,127.0371983
논현동 62-7,37.5208659,127.032987
논현동 117-3,37.5166789,127.0386491
논현동 225-3,37.5115631,127.0355713
논현동 98-3,37.5201824,127.0348527
논현동 275,37.5103561,127.0376521
논현동 249,37.5132311,127.0358274
논현동 105,37.5193536,127.0365755
논현동 90-3,37.5159901,127.034637
논현동 225-1,37.5113574,127.0351827
논현동 222-11,37.5109848,127.0338172
논현동 245,37.5147466,127.0381369
논현동 225-5,37.5110779,127.0355777
논현동276-2,37.5100007,127.0395687
논현동 264-7,37.5120662,127.0398114
논현동 242,37.5159505,127.040157
논현동 112-21,37.5178664,127.0398773
논현동 213-32,37.5131037,127.0322841
논현동 250,37.5134088,127.0364542
논현동 221-1,37.5108098,127.0329782
논현동 225-6,37.5105414,127.0359456
대치동 604-1,37.4938526,127.0612069
대치동 624,37.4933533,127.0598799
대치동 651,37.4922077,127.0573813
대치동 1021-10,37.4983679,127.060863
대치동 1024,37.4966877,127.0552639
대치동 1023,37.4972019,127.0565523
대치동 1021-3,37.4981124,127.0597594
대치동 1027,37.4942974,127.0580036
대치동 1027-1,37.4943606,127.0598416
대치동 888,37.4950563,127.0545628
대치동 1027-1,37.4943606,127.0598416
대치동 210,37.4965381,127.0613449
대치동 1018,37.4966838,127.0603387
대치동 1013,37.496529,127.0564676
대치동 1016,37.4976259,127.0593292
대치동 212-6,37.4949995,127.061899
대치동 504,37.4915022,127.0608474
대치동 1014-1,37.4970236,127.0575271
대치동 1027,37.4942974,127.0580036
대치동 507-2,37.4938284,127.062941
대치동 944-31,37.5074573,127.0606353
대치동 994-8,37.4987004,127.0680685
대치동 985,37.5010448,127.0654872
대치동 989-3,37.4990517,127.0623931
대치동 998-1,37.5083713,127.067314
대치동 991,37.4995124,127.0637515
