자치구,2000,2005,2010,2015,2020,2021,2022
종로구,55174,57001,53043,53031,53472,53339,53098
중구,56619,53398,62836,56470,54841,63506,60758
용산구,64335,74257,81514,83496,87636,88363,82765
성동구,78922,89751,90979,98329,104962,102131,101907
광진구,89113,91202,94698,99183,100774,100915,101583
동대문구,82441,90799,95106,102996,106231,107187,108327
중랑구,91090,96525,103258,111936,116603,117311,119241
성북구,93099,108492,123315,127190,131711,130222,132072
강북구,65993,76483,80318,84325,85754,81003,81400
도봉구,76403,87645,89883,93388,94279,92946,92600
노원구,128509,139545,146241,147747,147426,147653,148210
은평구,93431,104675,115729,128342,135193,134628,165549
서대문구,79413,80887,80496,84648,91857,89819,92192
마포구,88768,101400,108045,116054,119639,121467,118022
양천구,108350,128813,138019,143945,151129,146724,144059
강서구,110662,139479,158121,175903,187762,188972,190859
구로구,84234,103482,114445,128294,133120,132388,133973
금천구,55091,63110,66583,75325,83335,83959,86298
영등포구,101472,121287,127671,134955,137754,139838,136451
동작구,82843,94488,98034,106116,110369,111350,109862
관악구,99223,116240,122310,128081,128471,123707,124549
서초구,128749,144840,154204,169230,168678,166138,165969
강남구,186168,212393,215398,221867,221196,220975,227803
송파구,161085,167522,196836,205698,226800,227035,230070
강동구,113262,116759,130439,131858,144860,147977,148961
